Title,Source,Time,Link,Keywords
A snapshot of how inflation is affecting Canadians - Statistics Canada,Statistique Canada,2023-02-27,https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LnN0YXRjYW4uZ2MuY2EvbzEvZW4vcGx1cy8zMDk2LXNuYXBzaG90LWhvdy1pbmZsYXRpb24tYWZmZWN0aW5nLWNhbmFkaWFuc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
What's happening to inflation and why it matters,Bank of Canada,2022-10-06,https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIyLzEwL3doYXRzLWhhcHBlbmluZy10by1pbmZsYXRpb24tYW5kLXdoeS1pdC1tYXR0ZXJzL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canadian Inflation: A New Vintage,TD Economics,2022-04-27,https://news.google.com/articles/CBMiMWh0dHBzOi8vZWNvbm9taWNzLnRkLmNvbS9jYS1pbmZsYXRpb24tbmV3LXZpbnRhZ2XSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada's inflation rate slowed to 2.9% in January as gas prices fell,CBC News,2024-02-20,https://news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2luZmxhdGlvbi1qYW51YXJ5LTIwMjQtMS43MTE5Nzk20gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjcxMTk3OTY?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Canada inflation rate ticks down to 2.8 per cent,CP24,2024-03-19,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmNwMjQuY29tL25ld3MvdW5hbWJpZ3VvdXNseS1nb29kLWluZmxhdGlvbi1zbG93cy1pbi1mZWJydWFyeS1hcy1wcmljZS1ncm93dGgtdW5leHBlY3RlZGx5LWVhc2VzLTEuNjgxMzE0M9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Research to Insights: Consumer price inflation, recent trends and analysis",Statistique Canada,2023-02-22,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzExLTYzMS14LzExLTYzMS14MjAyMzAwMy1lbmcuaHRt0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Fighting to get back to low inflation,Bank of Canada,2023-11-22,https://news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzExL2ZpZ2h0aW5nLXRvLWdldC1iYWNrLXRvLWxvdy1pbmZsYXRpb24v0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Canada's inflation rate slowed to 2.8% in February, beating expectations for 2nd month in a row",CBC News,2024-03-19,https://news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2J1c2luZXNzL2luZmxhdGlvbi1mZWJydWFyeS0yMDI0LTEuNzE0ODE3N9IBIGh0dHBzOi8vd3d3LmNiYy5jYS9hbXAvMS43MTQ4MTc3?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Economic and Social Reports Import prices and inflation in Canada,Statistique Canada,2023-06-28,https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzM2LTI4LTAwMDEvMjAyMzAwNi9hcnRpY2xlLzAwMDAyLWVuZy5odG3SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Economic progress report: Navigating a high inflation environment,Bank of Canada,2022-06-02,https://news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIyLzA2L2Vjb25vbWljLXByb2dyZXNzLXJlcG9ydC1uYXZpZ2F0aW5nLWEtaGlnaC1pbmZsYXRpb24tZW52aXJvbm1lbnQv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
"Economic and Social Reports Inflationary pressures, wages and profits",Statistique Canada,2023-06-28,https://news.google.com/articles/CBMiTGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzM2LTI4LTAwMDEvMjAyMzAwNi9hcnRpY2xlLzAwMDA1LWVuZy5odG3SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Getting inflation back to 2%,Bank of Canada,2023-05-04,https://news.google.com/articles/CBMiQGh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzA1L2dldHRpbmctaW5mbGF0aW9uLWJhY2stdG8tMi_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Corporate profitability and inflation: 2017 to 2022,Statistique Canada,2023-07-27,https://news.google.com/articles/CBMiRGh0dHBzOi8vd3d3MTUwLnN0YXRjYW4uZ2MuY2EvbjEvcHViLzYyZjAwMTRtLzYyZjAwMTRtMjAyMzAwNC1lbmcuaHRt0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
Our commitment to 2% inflation,Bank of Canada,2023-02-16,https://news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmJhbmtvZmNhbmFkYS5jYS8yMDIzLzAyL291ci1jb21taXRtZW50LXRvLTItaW5mbGF0aW9uL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen,Canada inflation
