Month,Keyword,Average Sentiment,Average Subjectivity
2022-01,Canada inflation,0.0987878787878788,0.46484848484848484
2022-02,Canada inflation,0.0,0.0
2022-02,Canada rent,0.0,0.0
2022-03,Canada inflation,0.16,0.54
2022-03,Canada rent,0.0,0.0
2022-04,Canada inflation,0.14424242424242426,0.4830303030303031
2022-05,Canada inflation,0.1481818181818182,0.4972727272727273
2022-05,Canada rent,0.16666666666666666,0.3333333333333333
2022-06,Canada inflation,0.17333333333333334,0.4266666666666667
2022-06,Canada rent,0.0,0.0
2022-07,Canada inflation,0.0987878787878788,0.5315151515151516
2022-08,Canada inflation,0.25,0.3333333333333333
2022-08,Canada rent,0.14222222222222222,0.4011111111111111
2022-09,Canada inflation,0.019999999999999997,0.27666666666666667
2022-09,Canada rent,0.2,0.6
2022-10,Canada inflation,0.0,0.0
2022-10,Canada rent,-0.6666666666666666,1.0
2022-11,Canada inflation,-0.4,0.7
2022-11,Canada rent,0.1,0.2
2022-12,Canada rent,0.31666666666666665,0.4833333333333334
2023-01,Canada inflation,0.016666666666666677,0.5
2023-01,Canada rent,0.061363636363636356,0.3974025974025975
2023-02,Canada inflation,0.13333333333333333,0.3833333333333333
2023-02,Canada rent,-0.5,0.7
2023-03,Canada inflation,0.16,0.54
2023-03,Canada rent,0.007272727272727275,0.3642424242424242
2023-04,Canada inflation,-0.1075,0.5825
2023-04,Canada rent,0.3,0.75
2023-05,Canada inflation,0.06666666666666667,0.6666666666666666
2023-05,Canada rent,0.37,0.35333333333333333
2023-06,Canada inflation,-0.030000000000000006,0.2725
2023-06,Canada rent,0.0903409090909091,0.3386363636363636
2023-07,Canada inflation,0.16555555555555554,0.3344444444444444
2023-07,Canada rent,0.003333333333333332,0.49666666666666665
2023-08,Canada inflation,-0.09999999999999996,0.5541666666666667
2023-08,Canada rent,0.18559440559440563,0.46941724941724944
2023-09,Canada inflation,0.2875,0.5375
2023-09,Canada rent,0.13284271284271285,0.4607720057720057
2023-10,Canada inflation,0.009777777777777774,0.6235555555555555
2023-10,Canada rent,-0.006144781144781141,0.5088383838383838
2023-11,Canada inflation,0.09277777777777778,0.4211111111111111
2023-11,Canada rent,0.10535885167464115,0.48523125996810207
2023-12,Canada inflation,0.13111111111111112,0.5488888888888889
2023-12,Canada rent,0.19999999999999998,0.4375
2024-01,Canada inflation,0.075,0.5625
2024-01,Canada rent,0.032068181818181815,0.37331060606060606
2024-02,Canada inflation,0.22000000000000003,0.37666666666666665
2024-02,Canada rent,0.11874655647382922,0.4144834710743801
2024-03,Canada inflation,0.09574074074074075,0.5098148148148148
2024-03,Canada rent,-0.17333333333333334,0.54
